,iso3-code,name,box,lon1,lat1,lon2,lat2
0,FRA,France,"(-4.7625, 42.3404785156, 8.14033203125, 51.0971191406)",-4.7625,42.3404785156,8.14033203125,51.0971191406
1,FRA,Corsica,"(8.565625, 41.3849121094, 9.5564453125, 43.021484375)",8.565625,41.3849121094,9.5564453125,43.021484375
0,GBR,Scotland,"(-7.54296875, 54.689453125, -0.774267578125, 60.8318847656)",-7.54296875,54.689453125,-0.774267578125,60.8318847656
1,GBR,England,"(-5.65625, 50.0213867188, 1.74658203125, 55.8079589844)",-5.65625,50.0213867188,1.74658203125,55.8079589844
2,GBR,N. Ireland,"(-8.14482421875, 54.0512695312, -5.47041015625, 55.241796875)",-8.14482421875,54.0512695312,-5.47041015625,55.241796875
3,GBR,Wales,"(-5.2623046875, 51.3904296875, -2.6623046875, 53.4192871094)",-5.2623046875,51.3904296875,-2.6623046875,53.4192871094
0,DEU,Germany,"(5.85751953125, 47.2788085938, 15.0166015625, 55.0587402344)",5.85751953125,47.2788085938,15.0166015625,55.0587402344
0,NLD,Netherlands,"(3.133, 50.75, 7.217, 53.683)",3.133,50.75,7.217,53.683
0,USA,U.S.A.,"(-124.709960938, 24.5423339844, -66.9870117187, 49.3696777344)",-124.709960938,24.5423339844,-66.9870117187,49.3696777344
1,USA,Alaska,"(-178.19453125, 51.6036621094, -130.0140625, 71.4076660156)",-178.19453125,51.6036621094,-130.0140625,71.4076660156
2,USA,Hawaii,"(-160.243457031, 18.9639160156, -154.804199219, 22.2231445312)",-160.243457031,18.9639160156,-154.804199219,22.2231445312
3,USA,Alaska,"(172.494824219, 51.3722167969, 179.779980469, 53.0129882813)",172.494824219,51.3722167969,179.779980469,53.0129882813
0,FIN,Finland,"(20.6221679688, 59.816015625, 31.5365234375, 70.06484375)",20.6221679688,59.816015625,31.5365234375,70.06484375
0,NOR,Norway,"(4.7990234375, 58.0209472656, 30.9606445313, 71.1420898438)",4.7990234375,58.0209472656,30.9606445313,71.1420898438
1,NOR,Jan Mayen I.,"(-9.09887695312, 70.8326660156, -7.97880859375, 71.1776855469)",-9.09887695312,70.8326660156,-7.97880859375,71.1776855469
0,GEO,Georgia,"(39.9783203125, 41.0702148437, 46.6725585938, 43.5697753906)",39.9783203125,41.0702148437,46.6725585938,43.5697753906
0,SWE,Sweden,"(11.1471679688, 55.3463867188, 24.15546875, 69.0368652344)",11.1471679688,55.3463867188,24.15546875,69.0368652344
0,DNK,Bornholm,"(14.6841796875, 55.0049316406, 15.137109375, 55.2967285156)",14.6841796875,55.0049316406,15.137109375,55.2967285156
1,DNK,Denmark,"(8.121484375, 54.6288574219, 12.6657226563, 57.7369140625)",8.121484375,54.6288574219,12.6657226563,57.7369140625
0,CAN,Canada,"(-141.002148438, 41.6748535156, -52.6536621094, 83.1161132813)",-141.002148438,41.6748535156,-52.6536621094,83.1161132813
0,AUS,Australia,"(112.908203125, -39.1455078125, 153.616894531, -10.0517578125)",112.908203125,-39.1455078125,153.616894531,-10.0517578125
1,AUS,Macquarie I.,"(158.8359375, -54.74921875, 158.958886719, -54.4723632813)",158.8359375,-54.74921875,158.958886719,-54.4723632813
2,AUS,Tasmania,"(143.838574219, -43.6193359375, 148.47421875, -39.5801757813)",143.838574219,-43.6193359375,148.47421875,-39.5801757813
3,AUS,Ashmore and Cartier Is.,"(123.572460938, -12.4359375, 123.595214844, -12.4239257813)",123.572460938,-12.4359375,123.595214844,-12.4239257813
0,LTU,Lithuania,"(20.8998046875, 53.89296875, 26.7756835938, 56.4111816406)",20.8998046875,53.89296875,26.7756835938,56.4111816406
0,JPN,Kyushu,"(129.580078125, 31.0151367188, 132.00859375, 33.9277832031)",129.580078125,31.0151367188,132.00859375,33.9277832031
1,JPN,Hokkaido,"(139.820898438, 41.4232421875, 145.833007812, 45.5095214844)",139.820898438,41.4232421875,145.833007812,45.5095214844
2,JPN,Izu-shoto,"(139.768945313, 33.0454589844, 139.873632813, 33.1292480469)",139.768945313,33.0454589844,139.873632813,33.1292480469
